department_id,institution_id,name
1,1,Mathematics
2,1,Health Sciences
3,1,Engineering
4,1,Education
5,1,Art and Media
6,1,Business
7,1,Humanities
8,1,Computer Science
9,2,Education
10,2,Health Sciences
11,2,Mathematics
12,2,Economics
13,2,Law
14,2,Philosophy
15,2,Social Science
16,2,Engineering
17,3,Engineering
18,3,Health Sciences
19,3,Business
20,3,Psychology
21,3,Law
22,3,Humanities
23,3,Economics
24,3,Education
25,4,Education
26,4,Mathematics
27,4,Economics
28,4,Law
29,4,Social Science
30,4,Business
31,4,Science
32,4,Art and Media
33,5,Psychology
34,5,Philosophy
35,5,Engineering
36,5,Computer Science
37,5,Social Science
38,5,Literature
39,5,Art and Media
40,5,Education
41,6,Business
42,6,Psychology
43,6,Literature
44,6,Health Sciences
45,6,Education
46,6,Social Science
47,6,Mathematics
48,6,Philosophy
49,7,Philosophy
50,7,Literature
51,7,Humanities
52,7,Art and Media
53,7,Engineering
54,7,Science
55,7,Law
56,7,Health Sciences
57,8,Economics
58,8,Social Science
59,8,Health Sciences
60,8,Law
61,8,Art and Media
62,8,Humanities
63,8,Literature
64,8,Business
65,9,Education
66,9,Health Sciences
67,9,Engineering
68,9,Mathematics
69,9,Business
70,9,Art and Media
71,9,Philosophy
72,9,Economics
73,10,Philosophy
74,10,Health Sciences
75,10,Social Science
76,10,Art and Media
77,10,Science
78,10,Literature
79,10,Computer Science
80,10,Humanities
81,11,Literature
82,11,Business
83,11,Mathematics
84,11,Art and Media
85,11,Psychology
86,11,Health Sciences
87,11,Computer Science
88,11,Philosophy
89,12,Computer Science
90,12,Science
91,12,Social Science
92,12,Art and Media
93,12,Mathematics
94,12,Law
95,12,Business
96,12,Literature
97,13,Philosophy
98,13,Psychology
99,13,Economics
100,13,Engineering
101,13,Business
102,13,Education
103,13,Literature
104,13,Social Science
105,14,Art and Media
106,14,Health Sciences
107,14,Business
108,14,Humanities
109,14,Literature
110,14,Psychology
111,14,Science
112,14,Social Science
113,15,Economics
114,15,Mathematics
115,15,Science
116,15,Computer Science
117,15,Art and Media
118,15,Education
119,15,Business
120,15,Philosophy
121,16,Education
122,16,Humanities
123,16,Social Science
124,16,Philosophy
125,16,Psychology
126,16,Literature
127,16,Business
128,16,Computer Science
129,17,Law
130,17,Science
131,17,Health Sciences
132,17,Engineering
133,17,Psychology
134,17,Computer Science
135,17,Humanities
136,17,Social Science
137,18,Humanities
138,18,Health Sciences
139,18,Social Science
140,18,Psychology
141,18,Economics
142,18,Science
143,18,Law
144,18,Art and Media
145,19,Law
146,19,Philosophy
147,19,Engineering
148,19,Mathematics
149,19,Health Sciences
150,19,Economics
151,19,Art and Media
152,19,Literature
153,20,Health Sciences
154,20,Art and Media
155,20,Social Science
156,20,Computer Science
157,20,Science
158,20,Engineering
159,20,Philosophy
160,20,Education
161,21,Law
162,21,Health Sciences
163,21,Mathematics
164,21,Art and Media
165,21,Psychology
166,21,Economics
167,21,Business
168,21,Computer Science
169,22,Literature
170,22,Psychology
171,22,Computer Science
172,22,Law
173,22,Education
174,22,Engineering
175,22,Economics
176,22,Science
177,23,Engineering
178,23,Health Sciences
179,23,Literature
180,23,Art and Media
181,23,Business
182,23,Economics
183,23,Mathematics
184,23,Philosophy
185,24,Health Sciences
186,24,Education
187,24,Science
188,24,Economics
189,24,Law
190,24,Computer Science
191,24,Humanities
192,24,Psychology
193,25,Law
194,25,Computer Science
195,25,Art and Media
196,25,Economics
197,25,Humanities
198,25,Social Science
199,25,Business
200,25,Education
201,26,Education
202,26,Art and Media
203,26,Social Science
204,26,Mathematics
205,26,Economics
206,26,Literature
207,26,Science
208,26,Law
209,27,Health Sciences
210,27,Business
211,27,Philosophy
212,27,Economics
213,27,Literature
214,27,Engineering
215,27,Law
216,27,Psychology
217,28,Humanities
218,28,Business
219,28,Engineering
220,28,Health Sciences
221,28,Mathematics
222,28,Psychology
223,28,Philosophy
224,28,Education
225,29,Economics
226,29,Engineering
227,29,Literature
228,29,Health Sciences
229,29,Law
230,29,Business
231,29,Art and Media
232,29,Science
233,30,Business
234,30,Law
235,30,Computer Science
236,30,Education
237,30,Humanities
238,30,Mathematics
239,30,Science
240,30,Economics
241,31,Psychology
242,31,Science
243,31,Economics
244,31,Social Science
245,31,Business
246,31,Health Sciences
247,31,Humanities
248,31,Education
