course_id,professor_id,department_id,title,course_code
1,1,1,Linear Algebra,MTH 390
2,1,1,Calculus,MTH 208
3,1,1,Probability,MTH 302
4,2,2,Physiology,HSC 226
5,2,2,Anatomy,HSC 482
6,3,3,Dynamics,ENG 360
7,3,3,Statics,ENG 146
8,3,3,Thermodynamics,ENG 156
9,4,4,Educational Psychology,EDU 405
10,4,4,Child Development,EDU 297
11,5,5,Photography,ART 448
12,5,5,Digital Media,ART 449
13,5,5,Drawing,ART 493
14,6,6,Marketing,BUS 322
15,7,7,Logic,PHL 359
16,7,7,Metaphysics,PHL 420
17,7,7,Epistemology,PHL 427
18,8,8,Databases,CS 376
19,8,8,Algorithms,CS 406
20,9,9,Curriculum Design,EDU 257
21,9,9,Educational Psychology,EDU 129
22,9,9,Child Development,EDU 390
23,10,10,Biostatistics,HSC 348
24,11,11,Calculus,MTH 381
25,11,11,Linear Algebra,MTH 235
26,12,12,Econometrics,ECN 465
27,12,12,Microeconomics,ECN 304
28,13,13,Econometrics,ECN 226
29,13,13,Macroeconomics,ECN 132
30,13,13,Microeconomics,ECN 110
31,14,14,Constitutional Law,LAW 462
32,14,14,Contract Law,LAW 217
33,15,15,Physiology,HSC 136
34,16,16,Cultural Studies,HUM 376
35,16,16,History,HUM 470
36,16,16,Ethics,HUM 224
37,17,17,Sociology,SOC 437
38,17,17,Political Science,SOC 281
39,17,17,Anthropology,SOC 310
40,18,18,Thermodynamics,ENG 434
41,19,19,Metaphysics,PHL 472
42,20,20,Anatomy,HSC 198
43,21,21,Accounting,BUS 242
44,21,21,Marketing,BUS 227
45,21,21,Finance,BUS 326
46,22,22,Econometrics,ECN 376
47,23,23,Constitutional Law,LAW 185
48,24,24,History,HUM 130
49,24,24,Ethics,HUM 294
50,24,24,Cultural Studies,HUM 299
