task_id,user_id,assignment_id,title,category,priority,time_allocated,status
1,249,995,Complete assignment #995,school,high,30,in_progress
2,249,996,Complete assignment #996,school,medium,120,in_progress
3,249,965,Complete assignment #965,school,low,60,completed
4,249,966,Complete assignment #966,school,medium,90,not_started
5,249,967,Complete assignment #967,school,high,60,in_progress
6,249,968,Complete assignment #968,school,medium,30,not_started
7,249,1009,Complete assignment #1009,school,high,45,in_progress
8,249,1010,Complete assignment #1010,school,medium,45,in_progress
9,249,1011,Complete assignment #1011,school,high,60,completed
10,249,1012,Complete assignment #1012,school,high,90,not_started
11,249,1013,Complete assignment #1013,school,medium,90,completed
12,249,1014,Complete assignment #1014,school,high,60,completed
13,249,,Workout,personal,medium,15,completed
14,249,,Freelance project,work,low,30,completed
15,249,,Team meeting prep,work,medium,45,not_started
16,250,2472,Complete assignment #2472,school,high,30,completed
17,250,2473,Complete assignment #2473,school,medium,60,in_progress
18,250,2474,Complete assignment #2474,school,low,45,completed
19,250,2429,Complete assignment #2429,school,high,30,completed
20,250,2430,Complete assignment #2430,school,medium,90,not_started
21,250,2431,Complete assignment #2431,school,low,30,in_progress
22,250,2432,Complete assignment #2432,school,medium,60,completed
23,250,2433,Complete assignment #2433,school,medium,30,completed
24,250,2434,Complete assignment #2434,school,high,60,completed
25,250,2483,Complete assignment #2483,school,high,120,completed
26,250,2484,Complete assignment #2484,school,low,30,completed
27,250,2435,Complete assignment #2435,school,medium,90,completed
28,250,2436,Complete assignment #2436,school,low,30,completed
29,250,2437,Complete assignment #2437,school,high,30,completed
30,250,2438,Complete assignment #2438,school,low,120,not_started
31,250,,Update resume,work,low,45,completed
32,250,,Clean apartment,personal,high,15,not_started
33,251,106,Complete assignment #106,school,medium,60,completed
34,251,107,Complete assignment #107,school,low,45,in_progress
35,251,108,Complete assignment #108,school,medium,30,not_started
36,251,154,Complete assignment #154,school,medium,60,not_started
37,251,155,Complete assignment #155,school,low,30,not_started
38,251,156,Complete assignment #156,school,high,90,in_progress
39,251,157,Complete assignment #157,school,high,45,not_started
40,251,125,Complete assignment #125,school,high,90,completed
41,251,126,Complete assignment #126,school,low,90,in_progress
42,251,127,Complete assignment #127,school,medium,90,completed
43,251,128,Complete assignment #128,school,high,60,completed
44,251,,Shift at cafe,work,high,90,completed
45,251,,Update resume,work,medium,60,completed
46,251,,Team meeting prep,work,low,60,completed
47,251,,Laundry,personal,low,90,not_started
48,251,,Laundry,personal,high,90,completed
49,252,2271,Complete assignment #2271,school,medium,90,completed
50,252,2272,Complete assignment #2272,school,high,120,completed
51,252,2324,Complete assignment #2324,school,high,60,completed
52,252,2325,Complete assignment #2325,school,low,60,completed
53,252,2268,Complete assignment #2268,school,high,45,completed
54,252,2269,Complete assignment #2269,school,medium,45,completed
55,252,2270,Complete assignment #2270,school,high,120,completed
56,252,2273,Complete assignment #2273,school,high,60,completed
57,252,2274,Complete assignment #2274,school,high,90,completed
58,252,2275,Complete assignment #2275,school,medium,30,not_started
59,252,2257,Complete assignment #2257,school,medium,90,completed
60,252,2258,Complete assignment #2258,school,high,45,in_progress
61,252,2259,Complete assignment #2259,school,high,60,not_started
62,252,2260,Complete assignment #2260,school,high,120,in_progress
63,252,,Workout,personal,low,15,completed
64,252,,Meal prep,personal,medium,30,completed
65,252,,Organize fundraiser,extracurricular,high,15,completed
66,252,,Practice session,extracurricular,high,90,in_progress
67,253,583,Complete assignment #583,school,low,30,in_progress
68,253,584,Complete assignment #584,school,high,30,in_progress
69,253,585,Complete assignment #585,school,low,120,in_progress
70,253,586,Complete assignment #586,school,high,120,completed
71,253,587,Complete assignment #587,school,low,60,not_started
72,253,588,Complete assignment #588,school,high,120,completed
73,253,546,Complete assignment #546,school,high,90,in_progress
74,253,547,Complete assignment #547,school,low,30,in_progress
75,253,548,Complete assignment #548,school,high,45,completed
76,253,549,Complete assignment #549,school,medium,90,not_started
77,253,595,Complete assignment #595,school,high,90,completed
78,253,596,Complete assignment #596,school,low,30,not_started
79,253,597,Complete assignment #597,school,low,90,not_started
80,253,598,Complete assignment #598,school,low,60,completed
81,253,533,Complete assignment #533,school,medium,120,in_progress
82,253,534,Complete assignment #534,school,medium,60,in_progress
83,253,535,Complete assignment #535,school,high,90,completed
84,253,536,Complete assignment #536,school,high,90,completed
85,253,537,Complete assignment #537,school,medium,45,not_started
86,253,,Organize fundraiser,extracurricular,low,90,completed
87,253,,Freelance project,work,medium,60,not_started
88,253,,Submit timesheet,work,medium,15,completed
89,254,464,Complete assignment #464,school,medium,30,not_started
90,254,465,Complete assignment #465,school,high,60,not_started
91,254,499,Complete assignment #499,school,low,30,in_progress
92,254,500,Complete assignment #500,school,medium,60,not_started
93,254,501,Complete assignment #501,school,low,45,not_started
94,254,502,Complete assignment #502,school,high,90,not_started
95,254,503,Complete assignment #503,school,medium,60,not_started
96,254,504,Complete assignment #504,school,high,90,not_started
97,254,459,Complete assignment #459,school,high,60,not_started
98,254,460,Complete assignment #460,school,low,90,in_progress
99,254,461,Complete assignment #461,school,medium,120,in_progress
100,254,462,Complete assignment #462,school,medium,90,in_progress
101,254,463,Complete assignment #463,school,high,120,not_started
102,254,488,Complete assignment #488,school,low,120,completed
103,254,489,Complete assignment #489,school,medium,90,not_started
104,254,490,Complete assignment #490,school,high,60,not_started
105,254,491,Complete assignment #491,school,high,120,in_progress
106,254,492,Complete assignment #492,school,low,90,in_progress
107,254,493,Complete assignment #493,school,low,90,completed
108,254,,Shift at cafe,work,high,45,completed
109,254,,Submit timesheet,work,low,30,completed
110,255,2439,Complete assignment #2439,school,high,120,completed
111,255,2440,Complete assignment #2440,school,high,120,not_started
112,255,2441,Complete assignment #2441,school,medium,120,completed
113,255,2442,Complete assignment #2442,school,low,120,not_started
114,255,2443,Complete assignment #2443,school,low,60,completed
115,255,2481,Complete assignment #2481,school,low,120,in_progress
116,255,2482,Complete assignment #2482,school,high,120,in_progress
117,255,,Club meeting,extracurricular,medium,60,not_started
118,255,,Submit timesheet,work,medium,60,in_progress
119,256,111,Complete assignment #111,school,low,30,in_progress
120,256,112,Complete assignment #112,school,medium,45,not_started
121,256,113,Complete assignment #113,school,low,45,in_progress
122,256,114,Complete assignment #114,school,medium,45,not_started
123,256,164,Complete assignment #164,school,medium,45,not_started
124,256,165,Complete assignment #165,school,low,60,in_progress
125,256,,Team meeting prep,work,medium,45,in_progress
126,256,,Shift at cafe,work,low,30,completed
127,256,,Workout,personal,medium,90,completed
128,256,,Club meeting,extracurricular,medium,15,in_progress
129,257,447,Complete assignment #447,school,high,90,not_started
130,257,448,Complete assignment #448,school,low,90,completed
131,257,449,Complete assignment #449,school,low,60,in_progress
132,257,457,Complete assignment #457,school,high,30,not_started
133,257,458,Complete assignment #458,school,high,45,in_progress
134,257,466,Complete assignment #466,school,medium,90,not_started
135,257,467,Complete assignment #467,school,high,120,not_started
136,257,468,Complete assignment #468,school,low,60,in_progress
137,257,469,Complete assignment #469,school,low,45,in_progress
138,257,470,Complete assignment #470,school,medium,120,in_progress
139,257,471,Complete assignment #471,school,low,90,completed
140,257,,Workout,personal,low,15,completed
141,257,,Practice session,extracurricular,high,45,completed
142,257,,Practice session,extracurricular,high,30,completed
143,257,,Call family,personal,low,30,completed
144,258,601,Complete assignment #601,school,high,30,in_progress
145,258,602,Complete assignment #602,school,medium,30,completed
146,258,603,Complete assignment #603,school,high,120,completed
147,258,604,Complete assignment #604,school,medium,45,completed
148,258,605,Complete assignment #605,school,medium,60,completed
149,258,606,Complete assignment #606,school,high,90,not_started
150,258,563,Complete assignment #563,school,high,60,in_progress
151,258,564,Complete assignment #564,school,medium,120,in_progress
152,258,565,Complete assignment #565,school,high,45,completed
153,258,566,Complete assignment #566,school,low,120,in_progress
154,258,573,Complete assignment #573,school,low,45,in_progress
155,258,574,Complete assignment #574,school,high,90,completed
156,258,575,Complete assignment #575,school,high,30,completed
157,258,576,Complete assignment #576,school,high,30,in_progress
158,258,577,Complete assignment #577,school,high,90,completed
159,258,578,Complete assignment #578,school,medium,90,completed
160,258,,Volunteer event,extracurricular,high,15,not_started
161,258,,Volunteer event,extracurricular,medium,15,not_started
162,258,,Update resume,work,high,45,not_started
163,258,,Laundry,personal,medium,30,not_started
164,259,499,Complete assignment #499,school,medium,60,not_started
165,259,500,Complete assignment #500,school,medium,120,not_started
166,259,501,Complete assignment #501,school,low,90,not_started
167,259,502,Complete assignment #502,school,medium,120,in_progress
168,259,503,Complete assignment #503,school,low,120,not_started
169,259,504,Complete assignment #504,school,high,120,completed
170,259,508,Complete assignment #508,school,high,120,not_started
171,259,509,Complete assignment #509,school,high,45,completed
172,259,510,Complete assignment #510,school,low,60,completed
173,259,511,Complete assignment #511,school,low,120,completed
174,259,512,Complete assignment #512,school,medium,45,completed
175,259,459,Complete assignment #459,school,low,120,completed
176,259,460,Complete assignment #460,school,high,120,completed
177,259,461,Complete assignment #461,school,low,90,completed
178,259,462,Complete assignment #462,school,high,30,completed
179,259,463,Complete assignment #463,school,medium,90,completed
180,259,,Club meeting,extracurricular,high,90,in_progress
181,259,,Rehearsal,extracurricular,low,30,not_started
182,259,,Rehearsal,extracurricular,medium,45,not_started
183,259,,Update resume,work,low,90,completed
184,259,,Workout,personal,high,60,completed
185,260,750,Complete assignment #750,school,low,45,not_started
186,260,751,Complete assignment #751,school,medium,30,completed
187,260,752,Complete assignment #752,school,low,30,in_progress
188,260,753,Complete assignment #753,school,low,120,completed
189,260,754,Complete assignment #754,school,medium,60,not_started
190,260,758,Complete assignment #758,school,medium,45,completed
191,260,759,Complete assignment #759,school,low,60,in_progress
192,260,760,Complete assignment #760,school,low,30,completed
193,260,707,Complete assignment #707,school,high,90,completed
194,260,708,Complete assignment #708,school,high,90,in_progress
195,260,775,Complete assignment #775,school,low,30,completed
196,260,776,Complete assignment #776,school,medium,60,completed
197,260,777,Complete assignment #777,school,high,30,completed
198,260,778,Complete assignment #778,school,low,90,not_started
