notification_id,user_id,assignment_id,message,sent_at
1,25,12,Assignment #12 deadline approaching.,2026-04-18 15:06:25
2,25,5,Don't forget to submit assignment #5.,2026-04-18 15:07:06
3,26,26,Don't forget to submit assignment #26.,2026-04-18 15:06:56
4,26,26,Assignment #26 deadline approaching.,2026-04-18 15:07:01
5,27,17,Assignment #17 just assigned!Reminder: Assignment #17 is due soon!,2026-04-18 15:06:08
6,27,18,You have an upcoming deadline for assignment #18.,2026-04-18 15:05:54
7,28,42,Assignment #42 just assigned!Reminder: Assignment #42 is due soon!,2026-04-18 15:06:07
8,28,42,Assignment #42 deadline approaching.,2026-04-18 15:05:35
9,29,31,Assignment #31 deadline approaching.,2026-04-18 15:07:13
10,30,18,Assignment #18 deadline approaching.,2026-04-18 15:06:58
11,31,70,Don't forget to submit assignment #70.,2026-04-18 15:05:31
12,31,70,Don't forget to submit assignment #70.,2026-04-18 15:06:36
13,32,85,Assignment #85 just assigned!Reminder: Assignment #85 is due soon!,2026-04-18 15:06:40
14,33,54,Don't forget to submit assignment #54.,2026-04-18 15:06:56
15,34,82,Don't forget to submit assignment #82.,2026-04-18 15:06:05
16,34,82,Don't forget to submit assignment #82.,2026-04-18 15:05:53
17,36,39,You have an upcoming deadline for assignment #39.,2026-04-18 15:05:57
18,36,41,Don't forget to submit assignment #41.,2026-04-18 15:06:38
19,37,10,Assignment #10 deadline approaching.,2026-04-18 15:05:59
20,37,11,You have an upcoming deadline for assignment #11.,2026-04-18 15:06:36
21,39,36,Don't forget to submit assignment #36.,2026-04-18 15:07:23
22,40,85,Don't forget to submit assignment #85.,2026-04-18 15:06:10
23,40,85,You have an upcoming deadline for assignment #85.,2026-04-18 15:07:01
24,41,81,You have an upcoming deadline for assignment #81.,2026-04-18 15:06:28
25,41,74,You have an upcoming deadline for assignment #74.,2026-04-18 15:06:56
26,42,63,Don't forget to submit assignment #63.,2026-04-18 15:06:58
27,43,88,You have an upcoming deadline for assignment #88.,2026-04-18 15:06:25
28,43,86,Assignment #86 just assigned!Reminder: Assignment #86 is due soon!,2026-04-18 15:06:57
29,44,30,Assignment #30 just assigned!Reminder: Assignment #30 is due soon!,2026-04-18 15:06:12
