log_id,user_id,task_id,category,duration,logged_at,archived
1,25,1,school,30,2026-04-18 15:04:55,False
2,25,2,school,120,2026-04-18 15:06:08,False
3,25,3,school,120,2026-04-18 15:05:03,False
4,25,4,school,15,2026-04-18 15:07:10,False
5,25,4,school,45,2026-04-18 15:07:28,False
6,25,5,school,45,2026-04-18 15:07:22,False
7,25,6,school,25,2026-04-18 15:06:04,True
8,25,6,school,15,2026-04-18 15:07:01,False
9,25,7,personal,120,2026-04-18 15:04:43,True
10,25,7,personal,15,2026-04-18 15:06:57,False
11,25,8,extracurricular,90,2026-04-18 15:04:38,False
12,25,8,extracurricular,120,2026-04-18 15:04:31,False
13,25,8,extracurricular,45,2026-04-18 15:04:54,False
14,25,11,extracurricular,25,2026-04-18 15:06:23,False
15,25,11,extracurricular,60,2026-04-18 15:04:42,False
16,26,12,school,15,2026-04-18 15:04:57,False
17,26,12,school,25,2026-04-18 15:05:09,False
18,26,12,school,15,2026-04-18 15:05:52,False
19,26,13,work,15,2026-04-18 15:04:40,True
20,26,13,work,45,2026-04-18 15:06:24,False
21,26,13,work,15,2026-04-18 15:07:18,False
22,26,14,personal,90,2026-04-18 15:07:14,True
23,27,15,school,15,2026-04-18 15:06:28,False
24,27,15,school,25,2026-04-18 15:04:32,False
25,27,15,school,25,2026-04-18 15:06:05,False
26,27,17,school,15,2026-04-18 15:05:44,False
27,27,17,school,60,2026-04-18 15:04:33,False
28,27,19,extracurricular,120,2026-04-18 15:06:39,False
29,27,19,extracurricular,90,2026-04-18 15:06:06,False
30,27,19,extracurricular,30,2026-04-18 15:05:21,False
31,27,21,work,120,2026-04-18 15:06:00,True
32,27,21,work,25,2026-04-18 15:06:35,False
33,28,23,school,25,2026-04-18 15:05:47,True
34,28,23,school,60,2026-04-18 15:07:19,False
35,28,24,work,120,2026-04-18 15:05:02,False
36,28,25,extracurricular,90,2026-04-18 15:07:15,False
37,28,25,extracurricular,25,2026-04-18 15:06:04,False
38,28,25,extracurricular,15,2026-04-18 15:05:13,False
39,29,26,school,15,2026-04-18 15:06:21,False
40,29,26,school,15,2026-04-18 15:05:15,False
41,29,26,school,15,2026-04-18 15:05:33,False
